<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;231003;000000;172.255;173.63;170.82;172.46;36134338
AAPL;D;231004;000000;171.09;174.21;170.97;173.54;36933535
AAPL;D;231005;000000;173.79;175.45;172.68;174.97;34679096
AAPL;D;231006;000000;173.8;177.99;173.18;177.49;39981750
AAPL;D;231009;000000;176.81;179.05;175.8;179;30881499
AAPL;D;231010;000000;178.1;179.72;177.95;178.41;30853201
AAPL;D;231011;000000;178.2;179.8406;177.6;179.75;31983884
AAPL;D;231012;000000;180.07;182.34;179.04;180.73;42127288
AAPL;D;231013;000000;181.42;181.93;178.14;178.87;34154600
AAPL;D;231016;000000;176.75;179.075;176.51;178.675;37805284
AAPL;D;231017;000000;176.645;178.42;174.8;177.12;43590653
AAPL;D;231018;000000;175.58;177.575;175.11;175.79;38299436
AAPL;D;231019;000000;176.04;177.84;175.19;175.46;38502404
AAPL;D;231020;000000;175.31;175.42;172.64;172.86;41420035
AAPL;D;231023;000000;170.91;174.01;169.93;172.96;40259112
AAPL;D;231024;000000;173.05;173.67;171.45;173.4;31708135
AAPL;D;231025;000000;171.88;173.06;170.65;171.09;36980895
AAPL;D;231026;000000;170.37;171.3775;165.67;166.87;49511101
AAPL;D;231027;000000;166.91;168.96;166.19;168.285;39051541
AAPL;D;231030;000000;169.02;171.17;168.87;170.235;36420813
AAPL;D;231031;000000;169.35;170.9;167.9;170.77;28792266
AAPL;D;231101;000000;171;174.23;170.12;173.91;38062158
AAPL;D;231102;000000;175.52;177.77;175.46;177.72;45468824
AAPL;D;231103;000000;174.24;176.82;173.35;176.63;56068522
AAPL;D;231106;000000;176.38;179.43;176.21;179.3;43149974
AAPL;D;231107;000000;179.18;182.44;178.97;181.88;46271527
AAPL;D;231108;000000;182.35;183.45;181.59;182.89;35180658
AAPL;D;231109;000000;182.96;184.12;181.81;182.44;36963159
AAPL;D;231110;000000;183.97;186.565;183.53;186.34;41227660
AAPL;D;231113;000000;185.82;186.03;184.21;184.76;28533890
AAPL;D;231114;000000;187.7;188.11;186.3;187.45;38015481
AAPL;D;231115;000000;187.845;189.5;187.78;188.09;33879441
AAPL;D;231116;000000;189.57;190.96;188.65;189.7689;39899000
AAPL;D;231117;000000;190.25;190.38;188.57;189.71;33258141
AAPL;D;231120;000000;189.89;191.905;189.88;191.5;29796766
AAPL;D;231121;000000;191.41;191.52;189.74;190.68;25699511
AAPL;D;231122;000000;191.49;192.93;190.825;191.3;28995735
AAPL;D;231124;000000;190.87;190.9;189.25;189.97;19527292
AAPL;D;231127;000000;189.92;190.67;188.9;189.78;24099529
AAPL;D;231128;000000;189.78;191.08;189.4;190.302;25667934
AAPL;D;231129;000000;190.9;192.09;188.97;189.35;25944160
AAPL;D;231130;000000;189.84;190.32;188.19;189.88;25675675
AAPL;D;231201;000000;190.33;191.56;189.23;191.24;27927043
AAPL;D;231204;000000;189.98;190.05;187.4511;189.425;28944819
AAPL;D;231205;000000;190.21;194.4;190.18;193.5;45056376
AAPL;D;231206;000000;194.45;194.75;192.11;192.32;25380098
AAPL;D;231207;000000;193.63;195;193.59;194.24;27681612
AAPL;D;231208;000000;194.2;195.99;193.67;195.701;32041673
AAPL;D;231211;000000;193.11;193.49;191.42;193.19;36557931
AAPL;D;231212;000000;193.08;194.6901;191.721;194.67;29486248
AAPL;D;231213;000000;195.09;198;194.85;197.88;44531475
AAPL;D;231214;000000;198.02;199.62;196.16;198.16;43107004
AAPL;D;231215;000000;197.53;198.3999;197.02;197.12;47474556
AAPL;D;231218;000000;196.09;196.63;194.39;195.9;33050773
AAPL;D;231219;000000;196.16;196.95;195.89;196.92;22006445
AAPL;D;231220;000000;196.9;197.68;194.86;194.87;29273132
AAPL;D;231221;000000;196.1;197.08;193.5;194.69;30230747
AAPL;D;231222;000000;195.18;195.41;192.97;193.62;24920969
AAPL;D;231226;000000;193.61;193.89;192.83;193.07;19458856
AAPL;D;231227;000000;192.49;193.5;191.09;193.17;30614855
AAPL;D;231228;000000;194.14;194.66;193.17;193.58;22241388
AAPL;D;231229;000000;193.9;194.4;191.725;192.5;23611689
AAPL;D;240102;000000;187.15;188.44;183.885;185.61;52592409
AAPL;D;240103;000000;184.22;185.88;183.43;184.31;35745051
AAPL;D;240104;000000;182.15;183.0872;180.88;181.98;44186882
AAPL;D;240105;000000;181.99;182.76;180.17;181.18;41109236
AAPL;D;240108;000000;182.085;185.6;181.5;185.53;34790007
AAPL;D;240109;000000;183.92;185.15;182.73;185.13;26006782
AAPL;D;240110;000000;184.35;186.4;183.92;186.14;28307669
AAPL;D;240111;000000;186.54;187.05;183.62;185.605;30421580
AAPL;D;240112;000000;186.06;186.74;185.19;185.855;23842144
AAPL;D;240116;000000;182.16;184.26;180.934;183.61;38612845
AAPL;D;240117;000000;181.27;182.93;180.3;182.65;31579747
AAPL;D;240118;000000;186.09;189.14;185.83;188.59;51431067
AAPL;D;240119;000000;189.33;191.95;188.82;191.57;38813020
AAPL;D;240122;000000;192.3;195.33;192.26;193.89;39372002
AAPL;D;240123;000000;195.02;195.75;193.8299;195.16;28664077
AAPL;D;240124;000000;195.42;196.38;194.34;194.53;33803467
AAPL;D;240125;000000;195.22;196.2675;193.1125;194.19;36433715
AAPL;D;240126;000000;194.27;194.76;191.94;192.39;27293100
AAPL;D;240129;000000;192.01;192.2;189.58;191.78;27566214
AAPL;D;240130;000000;190.94;191.8;187.47;188.02;37645427
AAPL;D;240131;000000;187.04;187.095;184.48;184.48;31360582
AAPL;D;240201;000000;183.985;186.95;183.88;186.89;33641288
AAPL;D;240202;000000;179.86;187.33;179.25;185.9;65378845
AAPL;D;240205;000000;188.15;189.25;185.84;187.65;43553235
AAPL;D;240206;000000;186.86;189.31;186.84;189.29;28523463
AAPL;D;240207;000000;190.64;191.05;188.61;189.41;33615966
AAPL;D;240208;000000;189.385;189.535;187.35;188.35;26674456
AAPL;D;240209;000000;188.65;189.99;188;188.81;29628843
AAPL;D;240212;000000;188.415;188.67;186.79;187.19;25683392
AAPL;D;240213;000000;185.77;186.19;183.5128;185.03;32246002
AAPL;D;240214;000000;185.32;185.53;182.44;184.02;33977784
AAPL;D;240215;000000;183.55;184.49;181.35;183.95;40542765
AAPL;D;240216;000000;183.42;184.85;181.665;182.29;31356472
AAPL;D;240220;000000;181.79;182.43;180;181.61;31092944
AAPL;D;240221;000000;181.94;182.8888;180.66;182.33;25407540
AAPL;D;240222;000000;183.48;184.955;182.46;184.33;30713103
AAPL;D;240223;000000;185.01;185.04;182.23;182.52;26565906
AAPL;D;240226;000000;182.24;182.76;180.65;181.2;26676573
AAPL;D;240227;000000;181.1;183.9225;179.56;182.66;38641277
AAPL;D;240228;000000;182.51;183.12;180.13;181.44;33923637
AAPL;D;240229;000000;181.27;182.57;179.53;180.63;47766643
AAPL;D;240301;000000;179.55;180.53;177.38;179.66;50972679
AAPL;D;240304;000000;176.15;176.9;173.79;175.09;55284095
AAPL;D;240305;000000;170.76;172.04;169.62;170.13;62276610
AAPL;D;240306;000000;171.06;171.24;168.68;169.12;45326065
AAPL;D;240307;000000;169.15;170.73;168.49;168.98;46759404
AAPL;D;240308;000000;169;173.7;168.95;170.785;53335957
AAPL;D;240311;000000;172.94;174.38;172.05;172.78;38187832
AAPL;D;240312;000000;173.15;174.03;171.01;173.23;37726640
AAPL;D;240313;000000;172.77;173.185;170.76;171.12;31607988
AAPL;D;240314;000000;172.91;174.3078;172.05;173.09;47335475
AAPL;D;240315;000000;171.17;172.6;170.285;172.595;40801104
AAPL;D;240318;000000;175.57;177.71;173.52;173.74;46150627
AAPL;D;240319;000000;174.34;176.605;173.03;176.08;32244233
AAPL;D;240320;000000;175.72;178.67;175.09;178.65;33927526
AAPL;D;240321;000000;177.05;177.49;170.84;171.4;76138768
AAPL;D;240322;000000;171.76;173.05;170.06;172.25;43607792
AAPL;D;240325;000000;170.565;171.94;169.45;170.875;34271268
AAPL;D;240326;000000;170;171.42;169.58;169.815;35298140
AAPL;D;240327;000000;170.41;173.6;170.11;173.41;38624396
AAPL;D;240328;000000;171.75;172.23;170.51;171.47;36970500
AAPL;D;240401;000000;171.19;171.25;169.475;169.97;28707494
AAPL;D;240402;000000;169.08;169.34;168.2302;168.94;28171417
AAPL;D;240403;000000;168.79;170.68;168.58;169.66;29476089
AAPL;D;240404;000000;170.29;171.92;168.83;168.89;34408916
AAPL;D;240405;000000;169.59;170.39;168.95;169.6;26144553
AAPL;D;240408;000000;169.03;169.2;168.24;168.46;23200076
AAPL;D;240409;000000;168.7;170.08;168.35;169.7;29781101
AAPL;D;240410;000000;168.8;169.09;167.11;167.74;31910370
AAPL;D;240411;000000;168.34;175.46;168.16;175.01;61686689
AAPL;D;240412;000000;174.26;178.36;174.2309;176.56;73878885
AAPL;D;240415;000000;175.36;176.63;172.5;172.685;45982966
AAPL;D;240416;000000;171.75;173.7599;168.27;169.37;50387080
AAPL;D;240417;000000;169.61;170.65;168;168.02;30369718
AAPL;D;240418;000000;168.03;168.64;166.55;167.03;27890598
AAPL;D;240419;000000;166.21;166.4;164.075;164.96;39496222
AAPL;D;240422;000000;165.515;167.26;164.77;165.86;28329153
AAPL;D;240423;000000;165.35;167.05;164.92;166.96;28687202
AAPL;D;240424;000000;166.54;169.3;166.3;168.98;30437511
AAPL;D;240425;000000;169.525;170.61;168.1511;169.94;32414612
AAPL;D;240426;000000;169.88;171.34;169.18;169.29;28882287
AAPL;D;240429;000000;173.37;176.03;173.1;173.52;43974658
AAPL;D;240430;000000;173.33;174.99;170.02;170.24;31415846
AAPL;D;240501;000000;169.58;172.705;169.11;169.31;29647735
AAPL;D;240502;000000;172.51;173.415;170.89;173.155;44762332
AAPL;D;240503;000000;186.645;187;182.66;183.39;106163357
AAPL;D;240506;000000;182.354;184.2;180.42;181.7;52820994
