<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CSCO;D;250930;000000;67.705;68.77;67.69;68.42;14104134
CSCO;D;251001;000000;67.9;68.82;67.69;68.75;11002654
CSCO;D;251002;000000;69.175;69.49;68.255;68.307;11680680
CSCO;D;251003;000000;67.95;68.585;67.65;67.92;8294320
CSCO;D;251006;000000;68.435;68.95;67.81;68.91;12711144
CSCO;D;251007;000000;68.915;69.225;68.445;68.985;11119511
CSCO;D;251008;000000;69.81;70.755;69;70.33;21239578
CSCO;D;251009;000000;70.31;70.62;69.03;69.96;14892177
CSCO;D;251010;000000;70.41;70.8093;67.89;67.94;15828761
CSCO;D;251013;000000;68.55;68.89;67.13;67.46;10996805
CSCO;D;251014;000000;67.11;69.16;66.8131;68.66;10616973
CSCO;D;251015;000000;69.305;70.2999;68.82;69.52;10082072
CSCO;D;251016;000000;69.78;70.07;68.57;69.09;9111675
CSCO;D;251017;000000;69.06;70.77;68.95;70.13;11979676
CSCO;D;251020;000000;70.12;70.97;70.12;70.65;8162214
CSCO;D;251021;000000;70.58;71.2375;70.38;70.72;11071236
CSCO;D;251022;000000;70.86;70.97;69.85;70.66;10931686
CSCO;D;251023;000000;70.6;71.235;70.23;70.27;10728378
CSCO;D;251024;000000;70.635;70.94;70.06;70.63;9204025
CSCO;D;251027;000000;70.54;71.46;70.43;71.39;11170226
CSCO;D;251028;000000;71.2;72.68;71.03;72.62;13658627
CSCO;D;251029;000000;72.68;72.82;70.915;71.33;13797138
CSCO;D;251030;000000;71.37;73.11;71.34;72.91;13520569
CSCO;D;251031;000000;72.72;73.48;72.43;73.11;16109807
CSCO;D;251103;000000;74.61;74.838;73.6243;74.45;15934975
CSCO;D;251104;000000;73.9;73.99;71.98;72.32;16046594
CSCO;D;251105;000000;72.22;72.58;71.34;72.1;11700468
CSCO;D;251106;000000;71.71;72.23;70.6903;71.04;11249721
CSCO;D;251107;000000;71.385;71.585;70.54;71.07;11030155
CSCO;D;251110;000000;71.76;72.5;71.1539;72.09;16180873
CSCO;D;251111;000000;71.74;72.25;71.095;71.71;15832947
CSCO;D;251112;000000;71.905;74.21;71.72;73.96;37496139
CSCO;D;251113;000000;77.95;79.5;76.65;77.38;42285738
CSCO;D;251114;000000;76.58;78.665;75.8401;78;28613305
CSCO;D;251117;000000;77.885;79.39;77.465;77.78;19333271
CSCO;D;251118;000000;77.55;78.2;76.45;77.37;20384008
CSCO;D;251119;000000;77.3;78.93;74.46;78.39;17710674
CSCO;D;251120;000000;79.12;80.055;75.32;75.44;20909935
CSCO;D;251121;000000;75.64;76.94;75.47;76.1;18223361
CSCO;D;251124;000000;76.49;76.88;75.68;76.24;17545813
CSCO;D;251125;000000;76.49;77.06;76.075;76.32;12382300
CSCO;D;251126;000000;76.455;76.6;75.34;76.07;11349279
CSCO;D;251128;000000;76.14;76.96;75.81;76.94;5528726
CSCO;D;251201;000000;76.665;76.818;75.93;76.069;11252927
CSCO;D;251202;000000;76.155;77;75.76;76.87;10247966
CSCO;D;251203;000000;76.585;77.8165;75.65;77.75;11366483
CSCO;D;251204;000000;77.69;77.86;77.1651;77.76;8314303
CSCO;D;251205;000000;77.97;78.19;77.395;77.97;8758912
CSCO;D;251208;000000;78.21;79.38;78.12;78.86;13557473
CSCO;D;251209;000000;78.79;79.88;78.51;79.51;12282769
CSCO;D;251210;000000;78.83;80.815;78.8;80.25;14993345
CSCO;D;251211;000000;80.24;80.37;78.825;79.27;13720331
CSCO;D;251212;000000;79.46;79.555;77.715;77.8;11798022
CSCO;D;251215;000000;78.21;78.71;77.535;78.25;11795637
CSCO;D;251216;000000;78.105;78.608;77.38;77.55;12736128
CSCO;D;251217;000000;77.9;78.2;75.92;76;14898518
CSCO;D;251218;000000;76.33;77.8084;76.26;76.95;12359148
CSCO;D;251219;000000;76.97;79.17;76.785;78.42;45896282
CSCO;D;251222;000000;79.015;79.145;77.955;78.11;7535129
CSCO;D;251223;000000;77.605;78.12;77.59;78.02;7662428
CSCO;D;251224;000000;78.02;78.285;77.845;78.02;3599684
CSCO;D;251226;000000;78.095;78.275;77.93;78.16;4494608
CSCO;D;251229;000000;78.03;78.2955;77.52;77.79;10248278
CSCO;D;251230;000000;77.81;77.81;77.17;77.41;9065360
CSCO;D;251231;000000;77.34;77.82;76.88;77.03;10510992
CSCO;D;260102;000000;76.645;76.95;75.605;76.04;12353112
